order,id,title,year,tier,domains,stack,connections,image,hasProjectPage,summary
1,tebr,TEBR,2024–26,lead,sound|systems|code,Sound|Systems|Code,fictive-environments|space-time-tuning-machine,/images/atlas/tebr-violin-waveform.webp,yes,"The project converts machine failure, archive residue, and cultural specificity into a deliberate compositional territory rather than a problem to be corrected away."
2,mashrou-leila,MASHROU' LEILA,2008–22,lead,sound|image|space|systems,Sound|Image|Space,rolling-stone-cover|ibn-el-leil-album,/images/atlas/mashrou-leila-baalbeck-roman-ruins.webp,yes,"Mashrou’ Leila is the clearest proof that the practice can operate simultaneously at the scale of art, institution, and geopolitical pressure."
3,fictive-environments,Fictive Environments,2025–26,lead,space|code|text,Space|Code|Text,mekena-nyc|lede-nyc|new-york-voices|people-like-us-podcast,/images/atlas/fictive-environments-studio-identity.webp,no,"Primary solo studio identity and ""operating system."""
4,mekena-nyc,MEKENA NYC,2025–26,lead,space|systems,Space|Systems,fictive-environments,/images/atlas/mekena-nyc-queens-exterior.webp,yes,MEKENA makes the spatial argument explicit: the same systems thinking driving the software and performance work can operate at the scale of an actual building.
5,sometimes-i-wake-up-elsewhere,SOMETIMES I WAKE UP ELSEWHERE,2025–26,lead,text|code|systems,Text|Code|Systems,cartography-of-absence,/images/atlas/siwue-manuscript-fragment.webp,yes,SIWUE is one of the clearest examples of literary logic translated into software architecture without losing emotional force.
6,localization-gap,The Localization Gap,2024,lead,code|systems,Code|Systems,hah-was|frank,/images/atlas/localization-gap-maqam-spectrogram.webp,no,Forensic AI audit of cultural and linguistic bias.
7,cost-of-being-queer-and-arab,THE COST OF BEING QUEER AND ARAB,2020,lead,text|image|systems,Text|Image|Systems,mashrou-leila,/images/atlas/cost-of-being-queer-arab-nyt.webp,no,"This press node tracks the public argument around the band once visibility, censorship, and personal risk became impossible to separate."
8,cartography-of-absence,THE CARTOGRAPHY OF ABSENCE,2024,lead,text|systems,Text|Systems,walaw-manifesto,/images/atlas/cartography-of-absence-bureaucratic-form.webp,yes,The Cartography of Absence is one of the cleanest textual statements of the practice’s broader method: structural form carrying the emotional and political argument.
9,crane-song,The Crane Song,2020,lead,text|sound,Text|Sound,variations-on-cranes,/images/atlas/crane-song-sarkis-ai-bird.webp,no,Literary fiction and multimedia performance piece.
10,427-ai-tracks-archive,427 AI Tracks Archive,2024,lead,sound|code,Sound|Code,tebr|meaning-stack,/images/atlas/427-tracks-notion-taxonomy.webp,no,Repository of generative audio experiments.
