order,id,name,name_change_note,action,year,tier,suggested_image_filename,current_image_path,summary,domains,stack,connections,notes
1,tebr,TEBR,,keep,2024–26,lead,tebr-violin-waveform.jpg,images/atlas/tebr-violin-waveform.webp,"TEBR is Haig's solo electronic alias and research persona — violin, voice, and generative AI in collision. Born from the Localization Gap experiments, it routes machine failure and cultural residue into deliberate compositional territory. Not a correction of the algorithm. An argument with it.",sound|code|systems,Ableton|AI Generation|Sound Design|Python,427-ai-tracks-archive|space-time-tuning-machine|localization-gap,"Image suggestion: close-up of a violin string intersecting a waveform visualization, black bg. Or a still from a TEBR performance, high contrast."
2,mashrou-leila,MASHROU' LEILA,,keep,2008–22,lead,mashrou-leila-baalbeck-roman-ruins.jpg,images/atlas/mashrou-leila-baalbeck-roman-ruins.webp,"14 years. 40+ countries. 500M+ streams. The first Middle Eastern act on the Rolling Stone cover — and one of the most systematically banned bands in MENA history. Sound as political infrastructure: a counter-public built from music, protest, and architectural thinking across six albums, 35,000-person stadiums, and censorship orders that only expanded the audience.",sound|image|space|systems,Live Performance|Music Production|Ableton|Cultural Systems,rolling-stone-cover|ibn-el-leil-album|cost-of-being-queer-and-arab|stage-architecture,"Use the Baalbeck Roman ruins image — the most iconic spatial image of the band. Roman amphitheater as stage, crowd visible."
3,fictive-environments,FICTIVE ENVIRONMENTS,,keep,2025–26,lead,fictive-environments-studio-identity.jpg,images/atlas/fictive-environments-studio-identity.webp,"The studio identity and operating system for Haig's current NYC practice. Not a brand — a conceptual frame: the built environment as fiction, and fiction as a design method. Parent node for MEKENA, Lede.nyc, and every speculative infrastructure project currently in production. The name itself is the thesis.",space|code|text,Cultural Strategy|Spatial Design|Systems Architecture,mekena-nyc|lede-nyc|new-york-voices|people-like-us-podcast|systems-choreography,"Image: the Walaw Studio mark (و) on black, or an architectural rendering of MEKENA — something that reads as a studio rather than a project."
4,mekena-nyc,MEKENA NYC,,keep,2025–26,lead,mekena-nyc-queens-exterior.jpg,images/atlas/mekena-nyc-building-schematic-queens.webp,"Adaptive reuse of a 1920s building in Queens into an artist residency — the spatial argument made literal. The same systems thinking that drives the software and performance work, operating at the scale of an actual building. A Westbeth Safe Haven partner. Built for the musicians, writers, and builders who don't have a room yet.",space|systems,Architecture|Adaptive Reuse|Cultural Infrastructure,fictive-environments|menara|architectures-of-belonging,"Keep the current image if it shows the building exterior clearly. Otherwise: warm interior shot, exposed brick or industrial bones visible."
5,sometimes-i-wake-up-elsewhere,SOMETIMES I WAKE UP ELSEWHERE,,keep,2025–26,lead,siwue-manuscript-fragment.jpg,images/atlas/siwue-algorithmic-displacement-audit.webp,"~28,000 words of autofiction. 62 entries. No named sections — sequencing does the structural work. Surrealism arrives through physical detail, not announced conceits. Beau and Griffin are literal anchors. The ending stops in ordinary presence rather than resolving. Literary logic translated into software architecture without losing emotional force: a dream cycle that doubles as a structural diagram of exile and desire.",text|code|systems,Autofiction|Literary Form|Structural Design,cartography-of-absence|the-labyrinth|nowhere-elsewhere,"Image: a handwritten or typed manuscript fragment, partially obscured — or a dark room with a single light source. Avoid the Möbius image — too abstract. This is a literary work."
6,localization-gap,THE LOCALIZATION GAP,,keep,2024,lead,localization-gap-maqam-spectrogram.jpg,images/atlas/localization-gap-ai-track-rejection-log.webp,"Forensic audit of cultural and linguistic bias in AI music systems. 427+ tracks generated and annotated via Python API pipelines, red-teaming Suno, Udio, and MusicLM for Arabic maqam erasure, microtonal collapse, and non-Western harmonic resolution failure. Not a complaint. An evidentiary record. The intellectual spine of Walaw Studio's AI research positioning.",code|systems|sound,Python|API Pipelines|Music Analysis|AI/ML,hah-was|frank|427-ai-tracks-archive|maqamai,"Image: a spectrogram of an Arabic maqam melody, or a Python data visualization of generated tracks annotated by tuning deviation. Black bg, data-forward."
7,cost-of-being-queer-and-arab,THE COST OF BEING QUEER AND ARAB,,keep,2020,lead,cost-of-being-queer-arab-nyt.jpg,images/atlas/cost-of-being-queer-arab-nyt.webp,"Published in The New York Times. On the intersection of queerness, Arabness, and the geography of shame — written in the year the band played its last concert. Press node for the public argument that had been building for twelve years: once visibility, censorship, and personal risk became impossible to separate, the essay was the form it took.",text|image|systems,Essay|The New York Times|Advocacy,mashrou-leila|artistic-freedom-initiative,"Current image works. If replacing: the NYT op-ed page rendered large, or a detail of the article headline on black."
8,cartography-of-absence,THE CARTOGRAPHY OF ABSENCE,,keep,2024,lead,cartography-of-absence-bureaucratic-form.jpg,images/atlas/cartography-of-absence-data-void-trace.webp,"Autofiction structured as administrative forms — nine Houses, each a different bureaucratic document (visa application, medical intake, census record) filled with impossible answers about memory, displacement, and longing. The form asks for a birthplace; it has no field for a neighborhood that no longer exists. One of the cleanest textual statements of the practice's method: structural form carrying the emotional and political argument.",text|systems,Autofiction|Bureaucratic Form|Literary Structure,sometimes-i-wake-up-elsewhere|bureaucratic-surrealism|walaw-manifesto,"Image: a bureaucratic form (visa, census, customs) with handwritten or typed answers that are poetic and impossible — ink bleeding at edges, stark contrast."
9,crane-song,THE CRANE SONG,,keep,2020,lead,crane-song-sarkis-ai-bird.jpg,images/atlas/crane-song-sarkis-ai-bird.webp,"~10,000-word literary fiction. An Armenian-Lebanese exile in Brooklyn encounters a broken AI bird from a virtual reconstruction of Beirut. Character: Sarkis Melkonian. Bureaucratic and clinical language used as literary texture, not parody. Memory, machine learning, and the birds that carry the dead home. The story that holds the Localization Gap thesis and the autofiction practice together at their emotional center.",text|sound,Literary Fiction|Autofiction,variations-on-cranes|nowhere-elsewhere|cartography-of-absence,"Image: a crane (bird) silhouette against urban light, or a pixelated/glitched rendering of a Beirut roofscape. Something that holds both the natural and the computational."
10,427-ai-tracks-archive,427 AI TRACKS ARCHIVE,,keep,2024,lead,427-tracks-notion-taxonomy.jpg,images/atlas/localization-gap-427-tracks-archive-metadata.webp,"401+ AI-generated tracks catalogued in a Notion/Excel taxonomy covering emotional arc, arousal, motifs, themes, and valence — built to map what the models could and couldn't generate. The research body beneath the Localization Gap. Systematic world-building through generative music, treating the archive itself as compositional output.",sound|code,Suno|Udio|Notion API|Python|Music Analysis,tebr|localization-gap|maqamai|archive-of-unwritten-songs,"Image: a screenshot of the Notion database with tracks visible, or a grid of waveform thumbnails. Dense, taxonomic, research-forward."
